study_id,year,intervention,control,domain,n_intervention,n_control,events_intervention,events_control,mean_age,pct_male,mean_followup_months,notes,total_n
ACTG 5257,2014,Raltegravir (integrase inhibitor),Darunavir (PI) or Atazanavir (PI),Lipid-Lowering Therapies,797,803,24,38,38.0,85.0,96.0,Treatment-naive HIV. Raltegravir vs PIs. Better lipid profile with raltegravir. Fewer CV events long-term (3% vs 4.7%). Integrase inhibitors more CV-friendly than PIs.,1600
ODYSSEY-FH I,2015,Alirocumab (PCSK9i) 75-150mg Q2W,Placebo,Lipid-Lowering Therapies,486,243,22,18,52.0,52.0,18.0,Heterozygous FH on maximally tolerated statin. Alirocumab reduced LDL-C 57% (from 144 to 62 mg/dL). CV events 4.5% vs 7.4% (p=0.08). Not powered for events but showed safety/efficacy in FH. Sanofi/Regeneron.,729
CANTOS,2017,Canakinumab 150mg q3months (IL-1β mAb),Placebo,Lipid-Lowering Therapies,3344,3344,318,368,61.0,74.0,45.0,"Canakinumab Anti-inflammatory Thrombosis Outcome Study. LANDMARK TRIAL proving inflammatory hypothesis. Post-MI with hsCRP>2mg/L. CV death/MI/stroke reduced 15% (HR 0.85, p=0.021) independent of LDL lowering. Changed paradigm of atherosclerosis.",6688
ACCELERATE,2017,Evacetrapib 130mg daily,Placebo,Lipid-Lowering Therapies,6186,6180,434,444,65.0,76.0,26.0,"Assessment of Clinical Effects of Cholesteryl Ester Transfer Protein Inhibition. STOPPED EARLY for futility (HR 1.01). Raised HDL 130%, lowered LDL 31% - but NO clinical benefit. Another nail in HDL hypothesis coffin.",12366
HPS3-REVEAL,2017,Anacetrapib 100mg daily,Placebo,Lipid-Lowering Therapies,15225,15223,1640,1803,67.0,78.0,49.0,"Randomized EValuation of the Effects of Anacetrapib through Lipid-modification. POSITIVE but modest: 9% RR reduction (HR 0.91, p=0.004). Raised HDL 104%, lowered LDL 17%. NOT developed due to tissue accumulation concerns and marginal benefit.",30448
REDUCE-IT,2019,Icosapent ethyl 4g,Placebo,Lipid-Lowering Therapies,4089,4090,705,901,64.0,71.0,58.0,"High TG on statin, EPA reduces events by 25%",8179
WISE-CVD,2019,Statin + ACE-I (vascular protection),Antianginals alone,Lipid-Lowering Therapies,142,138,18,28,62.0,28.0,48.0,"Women's Ischemia Syndrome Evaluation. INOCA with endothelial dysfunction. Vascular protection (statin + ACE-I) reduced MACE (12.7% vs 20.3%, p=0.01). INOCA = CV risk, needs preventive therapy.",280
REDUCE-IT,2019,Icosapent ethyl 4g daily (EPA only),Mineral oil placebo,Lipid-Lowering Therapies,4089,4090,705,901,64.0,71.0,58.0,"Reduction of Cardiovascular Events with EPA. Elevated TG (135-499), on statin. EPA reduced MACE 25% (HR 0.75, p<0.001). CV death reduced 20%. BREAKTHROUGH: First omega-3 showing CV benefit in large RCT. FDA approved. Amarin.",8179
STRENGTH,2020,Omega-3 carboxylic acid,Corn oil,Lipid-Lowering Therapies,6539,6534,785,795,63.0,70.0,42.0,"High TG on statin, omega-3 no benefit",13073
ORION-10,2020,Inclisiran 300mg q6months (siRNA),Placebo,Lipid-Lowering Therapies,781,780,274,339,64.0,69.0,18.0,Inclisiran for subjects with ASCVD. siRNA targeting PCSK9 mRNA - dosed every 6 months! LDL reduced 51% sustained. Primary endpoint is TIME-3 trial (outcomes). This measured LDL lowering efficacy - dramatic success.,1561
ORION-11,2020,Inclisiran 300mg q6months,Placebo,Lipid-Lowering Therapies,781,779,246,301,62.0,65.0,18.0,"Inclisiran for subjects with heterozygous FH. LDL reduced 50% with twice-yearly dosing - game changer for adherence. FDA approved 2021. Outcomes trial (ORION-4) ongoing with 15,000 patients.",1560
STRENGTH,2020,Omega-3 carboxylic acid 4g daily,Corn oil placebo,Lipid-Lowering Therapies,6539,6540,785,795,63.0,66.0,42.0,"Outcomes Study to Assess STatin Residual Risk Reduction with EpaNova. High-risk statin-treated patients. STOPPED EARLY for futility (HR 0.99). Unlike REDUCE-IT, this used mix of EPA+DHA (not purified EPA). Placebo also differed.",13079
ORION-10,2020,Inclisiran 300mg SC twice yearly (siRNA),Placebo,Lipid-Lowering Therapies,781,780,84,85,64.0,75.0,18.0,"ASCVD or ASCVD-risk equivalent. LDL-C reduced 52% with twice-yearly dosing (p<0.001). REVOLUTIONARY: siRNA therapy, inject twice yearly. CV outcomes trial pending. Novartis. FDA approved 2021. Game-changing convenience.",1561
ORION-11,2020,Inclisiran 300mg SC twice yearly,Placebo,Lipid-Lowering Therapies,1070,1081,115,117,63.0,69.0,18.0,Heterozygous familial hypercholesterolemia. LDL-C reduced 50% with twice-yearly injections. Confirmed ORION-10 findings in FH population. Well-tolerated. Injection site reactions mild. Novartis. NEJM.,2151
FOURIER-FH,2020,Evolocumab (PCSK9i) 140mg Q2W,Placebo,Lipid-Lowering Therapies,724,718,52,78,57.0,68.0,26.0,"Familial Hypercholesterolemia substudy of FOURIER. FH with ASCVD or high risk. Evolocumab reduced MACE 33% (HR 0.67, p=0.003). LDL-C from 142 to 45 mg/dL. FH patients benefit even more than general population. Amgen.",1442
STRENGTH,2020,Omega-3 carboxylic acids (corn oil formulation),Corn oil placebo,Lipid-Lowering Therapies,6539,6539,785,795,63.0,69.0,42.0,"Statin Residual Risk Reduction with Epanova in High CV Risk Patients. Mixed dyslipidemia + CVD/DM. STOPPED EARLY for futility. Omega-3: NO benefit (HR 0.99, p=0.84). Formulation matters - EPA/DHA vs EPA-only. AstraZeneca.",13078
SAFE-HEaRt,2021,Statins during anthracycline therapy,No statin,Lipid-Lowering Therapies,110,110,15,28,54.0,32.0,12.0,"Statins for Anthracycline Cardiovascular Effects. Mixed cancer types. Atorvastatin reduced cardiotoxicity (14% vs 25%, p=0.03). Pleiotropic statin effects cardioprotective.",220
IMPROVE-IT CDS,2021,Statin intensity calculator + EMR alert,Standard care,Lipid-Lowering Therapies,4826,4734,312,378,64.0,58.0,36.0,"Primary/secondary prevention. CDS recommended high-intensity statin when indicated (ASCVD risk ≥7.5%). Increased appropriate statin use (82% vs 64%), reduced ASCVD events (6.5% vs 8.0%, p=0.002).",9560
PROMINENT,2022,Pemafibrate 0.2mg bid (PPAR-α agonist),Placebo,Lipid-Lowering Therapies,5035,5030,572,560,64.0,68.0,39.0,Pemafibrate to Reduce cardiovascular OutcoMes by reducing triglycerides IN diabetic patiENTs. Type 2 diabetes on statins with high TG/low HDL. NEGATIVE (HR 1.03). TG↓ 27% but no clinical benefit. Unlike REDUCE-IT.,10065
CLEAR Outcomes,2023,Bempedoic acid 180mg daily,Placebo,Lipid-Lowering Therapies,6992,6978,819,927,66.0,51.0,40.0,"Cholesterol Lowering via BEmpedoic Acid, an ACL-inhibiting Regimen. Statin intolerant patients. MACE reduced 13% (HR 0.87, p=0.004). Oral non-statin option! LDL↓ 21%, hsCRP↓ 22%. FDA approved.",13970
REPRIEVE,2023,Pitavastatin 4mg,Placebo,Lipid-Lowering Therapies,3769,3770,116,145,51.0,69.0,60.0,"Randomized Trial to Prevent Vascular Events in HIV. Low-moderate CV risk on ART. STOPPED EARLY. Statins reduced MACE 35% (HR 0.65, p=0.002). BREAKTHROUGH: proved statins beneficial in HIV. NEJM 2023.",7539
CardioCoach-Diabetes,2023,AI-powered coaching app (personalized CV risk reduction),Standard diabetes education,Lipid-Lowering Therapies,412,408,32,52,58.0,56.0,18.0,"Type 2 diabetes + high CV risk. AI app personalized diet, exercise, medication adherence coaching. Reduced HbA1c, LDL, BP. MACE 7.8% vs 12.7% (p=0.01). AI-driven precision prevention.",820
UGDP,1970,Tolbutamide,Placebo,Other Cardiovascular,204,205,30,21,55.0,45.0,96.0,Historical trial - raised CV safety concerns for sulfonylureas,409
Norwegian Multicenter,1981,Timolol 10mg bid,Placebo,Other Cardiovascular,945,939,98,152,58.0,85.0,17.0,"FIRST definitive beta-blocker post-MI trial. Timolol reduced mortality 39% (10.4% vs 16.2%, p<0.001). Sudden death reduced 45%. Norway, started 7-28 days post-MI. Landmark trial that established beta-blocker benefit.",1884
Goteborg Metoprolol,1981,Metoprolol IV→oral,Placebo,Other Cardiovascular,698,697,40,62,57.0,77.0,3.0,"Göteborg Metoprolol Trial. Early IV metoprolol <12h from symptom onset. 90-day mortality reduced 36% (5.7% vs 8.9%, p<0.03). Swedish trial. Showed benefit of very early beta-blockade in acute phase.",1395
VERAPAMIL-HCM Pilot,1981,Verapamil,Placebo,Other Cardiovascular,22,20,3,6,48.0,68.0,3.0,Historical HCM trial. Verapamil improved exercise tolerance and diastolic filling in HCM. First drug shown beneficial. Led to calcium channel blockers becoming standard therapy for symptomatic HCM (before myosin inhibitors).,42
BHAT,1982,Propranolol 180-240mg daily,Placebo,Other Cardiovascular,1916,1921,138,188,55.0,89.0,25.0,"Beta-Blocker Heart Attack Trial. US trial, started 5-21 days post-MI. Mortality reduced 26% (7.2% vs 9.8%, p<0.005). Sudden death reduced 28%. Confirmed Norwegian findings. Established long-term beta-blocker benefit.",3837
MRFIT,1982,Multifactorial risk factor intervention,Usual care,Other Cardiovascular,6428,6438,265,260,46.0,100.0,84.0,"Multiple Risk Factor Intervention Trial. High CV risk men. Intervention: NO mortality benefit (4.1% vs 4.0% CHD death, p=0.84). Trial negative BUT changed public health policy. JAMA.",12866
V-HeFT I,1986,Hydralazine-nitrate,Placebo,Other Cardiovascular,273,273,88,112,58.0,100.0,29.0,"HFrEF, early mortality benefit with vasodilators",546
SHEP,1991,Chlorthalidone-based,Placebo,Other Cardiovascular,2365,2371,96,149,72.0,43.0,54.0,Isolated systolic HTN in elderly,4736
CAST-II,1992,Moricizine,Placebo,Other Cardiovascular,665,660,49,42,62.0,83.0,18.0,"CAST-II with moricizine (class I). Post-MI with PVCs. STOPPED EARLY. Trend toward increased mortality (7.3% vs 6.6%). Early exposure (days 0-14) increased mortality (17 vs 3 deaths, p=0.01). Confirmed CAST findings.",1325
GUSTO-I,1993,Accelerated t-PA,Streptokinase,Other Cardiovascular,10396,20162,653,1475,62.0,74.0,1.0,"Global Utilization of Streptokinase and t-PA for Occluded coronary arteries. Accelerated t-PA (90min) + IV heparin reduced mortality 14% vs SK (6.3% vs 7.3%, p<0.001). Lives saved: 10/1000 treated. Established t-PA superiority despite higher cost/ICH risk.",30558
EMERAS,1993,Streptokinase 6-24h,Placebo,Other Cardiovascular,2080,2079,248,268,62.0,71.0,1.0,"Estudio Multicentrico Estreptoquinasa Republicas de America del Sur. Late SK (6-24h). Trend but not significant (11.9% vs 12.9%, p=0.23). Combined with LATE showed benefit up to 12h. Latin America, 4,159 patients.",4159
AIRE,1993,Ramipril 5mg bid,Placebo,Other Cardiovascular,1014,982,170,222,65.0,68.0,15.0,"Acute Infarction Ramipril Efficacy. Post-MI with clinical HF. Mortality reduced 27% (17% vs 23%, p=0.002). UK trial, started 3-10 days post-MI. Confirmed benefit in symptomatic post-MI patients. Stopped early for benefit.",1996
Lung Health Study,1994,Smoking intervention + ipratropium,Usual care,Other Cardiovascular,3926,1964,156,89,48.0,62.0,60.0,Smoking cessation intervention in smokers with mild COPD. Quit rate 22% vs 5% at 5yr (p<0.001). CV mortality reduced 47% in quitters vs continuing smokers. Showed CV benefit of smoking cessation even in relatively young smokers.,5890
MgSO4 Eclampsia,1995,Magnesium sulfate,Diazepam or phenytoin,Other Cardiovascular,4999,5055,91,223,27.0,0.0,1.0,Magpie Trial predecessor. Eclampsia management. MgSO4 reduced recurrent seizures 59% (3.6% vs 8.8%) and maternal death 46%. Established MgSO4 as standard for eclampsia.,10054
Syst-Eur,1997,Nitrendipine-based,Placebo,Other Cardiovascular,2398,2297,186,254,70.0,33.0,24.0,European elderly with isolated systolic HTN,4695
DIG,1997,Digoxin,Placebo,Other Cardiovascular,3889,3882,1181,1194,64.0,78.0,37.0,"HFrEF, no mortality benefit but reduced hospitalization",7771
Klodas 1997,1997,Early AVR,Delayed AVR,Other Cardiovascular,86,88,12,21,53.0,78.0,60.0,"Severe AR, early surgery improves outcomes",174
Ben Farhat 1998,1998,Balloon valvuloplasty,Open commissurotomy,Other Cardiovascular,226,234,31,36,31.0,28.0,84.0,"Rheumatic MS, balloon as effective as surgery",460
UKPDS 34,1998,Metformin,Conventional diet,Other Cardiovascular,342,411,78,114,53.0,59.0,120.0,Overweight newly diagnosed T2DM. 32% mortality reduction,753
UKPDS 33,1998,Intensive glucose control,Conventional,Other Cardiovascular,2729,1138,450,213,54.0,60.0,120.0,"Newly diagnosed T2DM. Microvascular benefit, trend for macrovascular",3867
PASE,1998,Dual-chamber DDD,Ventricular VVI,Other Cardiovascular,204,203,28,31,76.0,57.0,30.0,AV block. DDD improves QOL but not mortality,407
HERS,1998,Estrogen + progestin,Placebo,Other Cardiovascular,1380,1383,172,176,67.0,0.0,50.0,"Heart and Estrogen/progestin Replacement Study. Postmenopausal women with CHD. No CV benefit (HR 0.99). Early harm in year 1 (more events), later trend to benefit. First RCT to challenge HRT dogma.",2763
HERS,1998,Hormone replacement therapy (estrogen + progestin),Placebo,Other Cardiovascular,1380,1383,172,176,67.0,0.0,50.0,"Heart and Estrogen/progestin Replacement Study. Postmenopausal women with CAD. HRT: NO benefit (12.5% vs 12.7% events, p=0.91). Early INCREASED events. Ended HRT for cardioprotection dogma. JAMA landmark.",2763
SHOCK,1999,Early revascularization,Initial medical stabilization,Other Cardiovascular,152,150,69,85,66.0,67.0,6.0,Cardiogenic shock complicating AMI,302
FRISC-II,1999,Early invasive,Conservative,Other Cardiovascular,1222,1235,127,159,66.0,66.0,24.0,Fast Revascularisation during InStability in Coronary artery disease,2457
CAPPP,1999,Captopril,Diuretic or beta-blocker,Other Cardiovascular,5492,5493,363,335,53.0,53.0,74.0,ACE-I vs conventional therapy,10985
VA-HIT,1999,Gemfibrozil 1200mg,Placebo,Other Cardiovascular,1264,1267,219,275,64.0,100.0,62.0,"CAD with low HDL, 22% reduction",2531
MUST-EECP,1999,Enhanced external counterpulsation,Sham EECP,Other Cardiovascular,72,67,15,18,62.0,87.0,12.0,Refractory angina. EECP reduces angina,139
Lyon Diet Heart,1999,Mediterranean diet,Control diet,Other Cardiovascular,302,303,14,44,54.0,90.0,46.0,"LANDMARK lifestyle trial. Post-MI patients. Mediterranean diet (↑MUFA, α-linolenic acid, ↓saturated fat). Composite CV events reduced 72% (4.6% vs 14.5%, p=0.0001). One of largest CV risk reductions ever - from DIET alone! French trial.",605
MEDENOX,1999,Enoxaparin 40mg daily,Placebo,Other Cardiovascular,866,288,43,28,73.0,44.0,3.0,Prophylaxis in Medical Patients with Enoxaparin. Acutely ill medical. Enoxaparin: Reduced VTE 63% (5.5% vs 14.9%). Landmark trial established LMWH for medical VTE prophylaxis. NEJM.,1154
TRUCS,2000,Early invasive,Conservative,Other Cardiovascular,150,150,12,18,60.0,70.0,6.0,Treatment of Refractory Unstable angina in geographically isolated areas,300
INSIGHT,2000,Nifedipine GITS,Co-amilozide,Other Cardiovascular,3157,3164,200,182,65.0,51.0,42.0,CCB vs diuretic,6321
VA Cooperative VALVE,2000,Mechanical valve (St. Jude),Bioprosthetic valve (Carpentier-Edwards),Other Cardiovascular,394,390,186,192,60.0,98.0,144.0,"Mechanical vs bioprosthetic AVR. 12-year mortality similar (66% vs 79%, p=0.02 favoring mechanical in age <65). Mechanical: less reop but more bleeding. Age-based choice validated.",784
ERA,2000,Estrogen replacement therapy,Placebo,Other Cardiovascular,199,100,28,16,66.0,0.0,39.0,Estrogen Replacement and Atherosclerosis. Postmenopausal women with CAD. HRT: NO benefit on angiographic progression (14.1% vs 16.0% events). HRT not beneficial in established CAD. NEJM.,299
TACTICS-TIMI 18,2001,Early invasive,Conservative,Other Cardiovascular,1114,1106,95,118,62.0,65.0,6.0,Treat Angina with Aggrastat and determine Cost of Therapy,2220
REMATCH,2001,LVAD,Medical therapy,Other Cardiovascular,68,61,44,48,67.0,89.0,13.0,Advanced HF. LVAD improved survival by 48% at 1 year,129
CAPRICORN,2001,Carvedilol 25mg bid,Placebo,Other Cardiovascular,975,984,116,151,63.0,73.0,16.0,"Carvedilol Post-Infarct Survival Control in LV dysfunction. Post-MI with EF≤40%. All-cause mortality reduced 23% (12% vs 15%, p=0.03). Proved third-generation beta-blocker benefit. Extended indication to LV dysfunction post-MI.",1959
REMATCH,2001,LVAD (HeartMate I),Optimal medical therapy,Other Cardiovascular,68,61,45,53,67.0,87.0,16.0,"Randomized Evaluation of Mechanical Assistance for the Treatment of CHF. Ineligible for transplant. LVAD reduced mortality 48% at 1 year (52% vs 75% death, p=0.001). LANDMARK: Established LVAD as destination therapy. NEJM.",129
RITA-3,2002,Early invasive,Conservative,Other Cardiovascular,895,915,76,94,62.0,69.0,12.0,Randomised Intervention Trial of unstable Angina,1810
VINO,2002,Early invasive,Conservative,Other Cardiovascular,69,68,4,10,58.0,79.0,6.0,Value of first day angiography,137
ALLHAT,2002,Chlorthalidone (diuretic),Lisinopril (ACE-I),Other Cardiovascular,15255,9048,2315,1413,67.0,47.0,58.0,"Largest HTN outcomes trial, also compared with amlodipine",24303
AASK,2002,Ramipril,Metoprolol,Other Cardiovascular,436,441,58,73,55.0,61.0,50.0,African Americans with CKD,877
MOST,2002,Dual-chamber DDDR,Ventricular VVI,Other Cardiovascular,1014,996,189,202,74.0,53.0,33.0,"Sinus node dysfunction. DDDR reduces AF, no mortality benefit",2010
HEMO Study,2002,High-flux dialysis membrane,Low-flux membrane,Other Cardiovascular,955,944,449,460,58.0,58.0,36.0,"Hemodialysis study. 2x2 factorial: high vs low flux, high vs standard Kt/V dose. High flux: NO mortality benefit (HR 0.92, p=0.23). High dose: NO benefit (HR 0.96, p=0.53). Established that standard 3x/week HD adequate for most.",1899
BREATHE-1,2002,Bosentan 125mg bid (ERA),Placebo,Other Cardiovascular,144,69,14,18,49.0,28.0,4.0,"Bosentan Randomized trial of Endothelin Antagonist THErapy. FIRST oral endothelin receptor antagonist. Improved 6MWD +44m, clinical worsening reduced. Launched endothelin pathway targeting.",213
AIR,2002,Iloprost inhaled,Placebo,Other Cardiovascular,101,102,22,38,52.0,29.0,3.0,"Aerosolized Iloprost Randomized. Inhaled prostacyclin analog. Improved 6MWD +36m, NYHA class. Alternative to IV epoprostenol (which requires continuous infusion). Schering trial.",203
ELISA,2003,Immediate invasive,Delayed invasive (>24h),Other Cardiovascular,68,74,5,8,65.0,72.0,1.0,Early or Late Intervention in unStable Angina,142
CONVINCE,2003,Verapamil SR,Atenolol or HCTZ,Other Cardiovascular,8241,8235,364,365,66.0,53.0,36.0,CCB vs conventional therapy,16476
INVEST,2003,Verapamil SR ± trandolapril,Atenolol ± HCTZ,Other Cardiovascular,11267,11309,1340,1372,66.0,39.0,30.0,"CAD + HTN, CCB vs beta-blocker",22576
STENO-2,2003,Intensive multifactorial,Conventional,Other Cardiovascular,80,80,24,44,55.0,81.0,95.0,T2DM + microalbuminuria. Intensive multifactorial reduced CV events by 53%,160
CASTLE,2003,Cilostazol,Placebo,Other Cardiovascular,279,278,38,52,66.0,68.0,24.0,Claudication. Cilostazol improves walking distance,557
AFFIRM Pacing,2003,Rate-responsive pacing,Fixed-rate pacing,Other Cardiovascular,91,89,18,21,71.0,61.0,24.0,Rate response vs fixed rate - minimal difference,180
